Doctor ID,Name,Specialization,Experience (Years),Rating,City,State
DOC001,Dr. Laura Garcia,Dermatology,33,3.3,Phoenix,AZ
DOC002,Dr. David Miller,Radiology,30,3.7,Chicago,IL
DOC003,Dr. John Brown,Neurology,23,3.8,Houston,TX
DOC004,Dr. David Davis,Orthopedics,4,1.1,Philadelphia,PA
DOC005,Dr. Michael Davis,Dermatology,18,4,San Diego,CA
DOC006,Dr. Jane Johnson,Surgery,1,4.2,San Diego,CA
DOC007,Dr. Sarah Miller,Orthopedics,37,2.3,New York,NY
DOC008,Dr. Sarah Brown,Neurology,30,4.5,Phoenix,AZ
DOC009,Dr. Laura Brown,Surgery,4,3.6,Houston,TX
DOC010,Dr. Emily Smith,Cardiology,24,3.5,Philadelphia,PA
DOC011,Dr. David Davis,Dermatology,5,2.2,Los Angeles,CA
DOC012,Dr. Michael Miller,Dermatology,11,4.1,Houston,TX
DOC013,Dr. Alex Brown,Radiology,23,1.2,San Diego,CA
DOC014,Dr. Michael Williams,Pediatrics,33,2,Chicago,IL
DOC015,Dr. Alex Garcia,Cardiology,36,3.3,New York,NY
DOC016,Dr. David Smith,Surgery,35,3.6,Houston,TX
DOC017,Dr. Laura Williams,Cardiology,23,4.6,New York,NY
DOC018,Dr. Laura Brown,Dermatology,34,1.1,Chicago,IL
DOC019,Dr. Jane Davis,Cardiology,18,4.7,Houston,TX
DOC020,Dr. Laura Garcia,Dermatology,24,4,Los Angeles,CA
DOC021,Dr. Sarah Johnson,Psychiatry,34,4,Los Angeles,CA
DOC022,Dr. Emily Davis,Neurology,23,1.2,San Diego,CA
DOC023,Dr. Laura Davis,Surgery,6,2.5,San Antonio,TX
DOC024,Dr. John Miller,Psychiatry,29,1.5,Chicago,IL
DOC025,Dr. John Johnson,Radiology,38,5,Phoenix,AZ
DOC026,Dr. Emily Johnson,Cardiology,22,4.4,New York,NY
DOC027,Dr. Emily Garcia,Radiology,13,3.9,Philadelphia,PA
DOC028,Dr. Jane Miller,Cardiology,20,3.8,San Diego,CA
DOC029,Dr. Alex Johnson,Psychiatry,8,4.7,Chicago,IL
DOC030,Dr. Jane Smith,Cardiology,10,3.8,New York,NY
DOC031,Dr. Alex Miller,Pediatrics,8,3.5,San Diego,CA
DOC032,Dr. Laura Garcia,Radiology,30,1.9,New York,NY
DOC033,Dr. Michael Jones,Pediatrics,40,3.2,Houston,TX
DOC034,Dr. Emily Garcia,Cardiology,25,2.3,Houston,TX
DOC035,Dr. David Garcia,Surgery,5,1.5,Philadelphia,PA
DOC036,Dr. Jane Smith,Neurology,29,5,Houston,TX
DOC037,Dr. David Jones,Pediatrics,37,4.1,Philadelphia,PA
DOC038,Dr. Emily Brown,Orthopedics,18,3.3,San Diego,CA
DOC039,Dr. Michael Garcia,Radiology,33,2,Chicago,IL
DOC040,Dr. Alex Davis,Pediatrics,39,1.3,San Diego,CA
DOC041,Dr. Emily Jones,Orthopedics,23,2.9,Los Angeles,CA
DOC042,Dr. Emily Smith,Orthopedics,2,1.1,San Antonio,TX
DOC043,Dr. David Miller,Neurology,40,1.3,New York,NY
DOC044,Dr. Laura Jones,Neurology,31,3.5,New York,NY
DOC045,Dr. Michael Jones,Pediatrics,28,2.4,Chicago,IL
DOC046,Dr. David Williams,Cardiology,18,4.5,New York,NY
DOC047,Dr. Laura Davis,Cardiology,33,3.9,San Antonio,TX
DOC048,Dr. Alex Davis,Dermatology,30,2.5,Houston,TX
DOC049,Dr. John Garcia,Orthopedics,34,4.8,Philadelphia,PA
DOC050,Dr. David Garcia,Psychiatry,40,4.5,San Diego,CA
DOC051,Dr. David Williams,Radiology,14,2.9,San Antonio,TX
DOC052,Dr. Alex Brown,Dermatology,29,2.1,San Antonio,TX
DOC053,Dr. Sarah Jones,Cardiology,31,1.5,Los Angeles,CA
DOC054,Dr. John Smith,Pediatrics,30,1.4,San Antonio,TX
DOC055,Dr. Laura Garcia,Pediatrics,3,4.5,Houston,TX
DOC056,Dr. Michael Davis,Radiology,6,1,Philadelphia,PA
DOC057,Dr. Michael Garcia,Radiology,23,3.1,Los Angeles,CA
DOC058,Dr. John Brown,Dermatology,11,2.4,New York,NY
DOC059,Dr. Jane Williams,Dermatology,24,1.9,Phoenix,AZ
DOC060,Dr. John Garcia,Orthopedics,8,3.6,New York,NY
DOC061,Dr. David Davis,Dermatology,10,4.7,Chicago,IL
DOC062,Dr. Alex Brown,Pediatrics,26,1.5,San Antonio,TX
DOC063,Dr. Sarah Jones,Pediatrics,37,3.8,Houston,TX
DOC064,Dr. Jane Smith,Pediatrics,5,2.6,Chicago,IL
DOC065,Dr. Sarah Johnson,Orthopedics,33,2.2,San Antonio,TX
DOC066,Dr. Jane Garcia,Dermatology,19,4.1,Houston,TX
DOC067,Dr. Alex Garcia,Psychiatry,14,3.3,New York,NY
